product_category_name,customer_state,total_orders
alimentos,RJ,47
eletronicos,CE,46
fashion_bolsas_e_acessorios,DF,46
cool_stuff,MT,46
eletroportateis,RS,45
eletrodomesticos_2,RJ,45
fashion_bolsas_e_acessorios,GO,45
brinquedos,MT,44
construcao_ferramentas_construcao,RS,44
eletrodomesticos,PR,44
bebes,PA,44
eletrodomesticos,RS,44
fashion_calcados,MG,43
relogios_presentes,PB,43
casa_construcao,RS,43
moveis_decoracao,PB,42
eletroportateis,PR,42
relogios_presentes,PI,41
bebes,PE,41
eletronicos,PE,41
informatica_acessorios,AL,41
construcao_ferramentas_iluminacao,MG,41
pet_shop,DF,40
beleza_saude,SE,40
eletrodomesticos,BA,39
instrumentos_musicais,BA,39
construcao_ferramentas_jardim,RJ,39
utilidades_domesticas,MS,39
automotivo,MA,39
utilidades_domesticas,PA,38
cama_mesa_banho,PA,38
papelaria,CE,38
telefonia,PI,38
alimentos,MG,38
relogios_presentes,MS,37
livros_interesse_geral,PR,37
livros_importados,SP,37
ferramentas_jardim,PA,37
instrumentos_musicais,PR,37
market_place,RJ,36
beleza_saude,TO,36
brinquedos,MS,36
construcao_ferramentas_construcao,BA,36
informatica_acessorios,PI,36
telefonia_fixa,RJ,36
cama_mesa_banho,MA,36
fashion_bolsas_e_acessorios,PE,36
consoles_games,BA,36
informatica_acessorios,SE,36
relogios_presentes,AL,36
esporte_lazer,PB,36
portateis_casa_forno_e_cafe,SP,35
esporte_lazer,SE,35
perfumaria,PA,35
cool_stuff,MA,35
audio,MG,35
bebes,MT,35
malas_acessorios,SC,35
cama_mesa_banho,PI,34
consoles_games,SC,34
automotivo,PI,34
moveis_decoracao,AL,34
esporte_lazer,PI,34
construcao_ferramentas_ferramentas,SP,33
esporte_lazer,AL,33
artes,RJ,33
market_place,MG,33
eletronicos,GO,33
instrumentos_musicais,RS,32
malas_acessorios,BA,32
tablets_impressao_imagem,SP,32
informatica_acessorios,RN,32
cama_mesa_banho,PB,32
perfumaria,MA,31
fraldas_higiene,SP,31
cine_foto,SP,31
bebes,MS,31
bebes,CE,31
fashion_bolsas_e_acessorios,PA,31
construcao_ferramentas_construcao,SC,30
cama_mesa_banho,RN,30
fashion_bolsas_e_acessorios,CE,30
construcao_ferramentas_jardim,MG,30
relogios_presentes,TO,30
moveis_escritorio,ES,30
instrumentos_musicais,SC,30
perfumaria,MT,30
fashion_calcados,RJ,29
brinquedos,PA,29
construcao_ferramentas_seguranca,MG,29
livros_tecnicos,RJ,29
moveis_cozinha_area_de_servico_jantar_e_jardim,MG,29
ferramentas_jardim,SE,29
alimentos,PR,29
moveis_decoracao,RN,29
livros_tecnicos,MG,29
pet_shop,GO,28
fashion_roupa_feminina,SP,28
agro_industria_e_comercio,RJ,28
industria_comercio_e_negocios,RJ,28
brinquedos,PI,28
papelaria,MT,28
consoles_games,DF,28
livros_interesse_geral,RS,28
eletronicos,PA,28
telefonia,MS,28
eletroportateis,SC,28
telefonia,SE,28
telefonia,AL,28
moveis_escritorio,CE,28
moveis_escritorio,PA,27
livros_interesse_geral,RN,27
bebes,MA,27
telefonia,PB,27
bebidas,MG,26
cool_stuff,MS,26
eletronicos,MT,26
fashion_bolsas_e_acessorios,MA,26
alimentos_bebidas,MG,26
pet_shop,ES,26
automotivo,MS,26
cool_stuff,PB,25
pet_shop,MS,25
pcs,BA,25
brinquedos,RN,25
telefonia,RN,25
perfumaria,MS,25
esporte_lazer,TO,25
casa_construcao,SC,25
eletrodomesticos,SC,25
moveis_decoracao,SE,25
utilidades_domesticas,RN,25
beleza_saude,RO,25
casa_construcao,PR,24
malas_acessorios,CE,24
utilidades_domesticas,MA,24
malas_acessorios,DF,24
moveis_sala,RS,24
construcao_ferramentas_iluminacao,RS,24
ferramentas_jardim,MA,24
consoles_games,ES,23
brinquedos,MA,23
moveis_escritorio,MA,23
pet_shop,PE,23
dvds_blu_ray,SP,23
industria_comercio_e_negocios,RS,23
pcs,RJ,23
livros_interesse_geral,SC,23
eletroportateis,DF,23
utilidades_domesticas,PB,23
informatica_acessorios,RO,23
eletronicos,PI,22
papelaria,PA,22
esporte_lazer,RN,22
moveis_colchao_e_estofado,SP,22
consoles_games,GO,22
moveis_escritorio,GO,22
automotivo,AL,22
ferramentas_jardim,MS,22
automotivo,PB,22
papelaria,MS,22
eletronicos,MS,22
moveis_decoracao,PI,22
construcao_ferramentas_iluminacao,RJ,21
informatica_acessorios,TO,21
instrumentos_musicais,ES,21
cool_stuff,RN,21
casa_conforto,RS,21
perfumaria,RN,21
automotivo,SE,21
market_place,RS,21
telefonia,TO,21
agro_industria_e_comercio,MG,21
cool_stuff,PI,20
climatizacao,MG,20
beleza_saude,AM,20
relogios_presentes,SE,20
moveis_escritorio,PE,20
moveis_quarto,RJ,20
consoles_games,PE,20
papelaria,MA,20
fashion_roupa_masculina,MG,20
moveis_sala,BA,20
eletrodomesticos_2,MG,20
esporte_lazer,RO,20
sinalizacao_e_seguranca,RJ,20
cama_mesa_banho,AL,20
moveis_escritorio,MT,20
automotivo,RN,19
pcs,MG,19
ferramentas_jardim,RN,19
artigos_de_natal,MG,19
eletronicos,SE,19
moveis_escritorio,DF,19
telefonia,RO,19
utilidades_domesticas,PI,19
telefonia_fixa,RS,19
construcao_ferramentas_ferramentas,MG,18
papelaria,PB,18
alimentos,BA,18
livros_interesse_geral,DF,18
audio,PR,18
bebidas,RS,18
fashion_calcados,PR,18
moveis_decoracao,TO,18
eletroportateis,BA,18
artigos_de_festas,SP,18
perfumaria,PB,18
artes,MG,18
fashion_underwear_e_moda_praia,MG,18
construcao_ferramentas_seguranca,PR,18
moveis_sala,PR,17
eletrodomesticos_2,SC,17
industria_comercio_e_negocios,MG,17
telefonia_fixa,MG,17
cool_stuff,SE,17
ferramentas_jardim,PI,17
fashion_underwear_e_moda_praia,RJ,17
sinalizacao_e_seguranca,RS,17
construcao_ferramentas_seguranca,RJ,17
informatica_acessorios,AM,17
construcao_ferramentas_iluminacao,SC,16
automotivo,TO,16
alimentos,SC,16
pet_shop,MT,16
malas_acessorios,ES,16
consoles_games,CE,16
alimentos_bebidas,PR,16
cool_stuff,AL,16
artes_e_artesanato,SP,16
industria_comercio_e_negocios,SC,16
audio,DF,16
brinquedos,PB,16
cool_stuff,TO,16
eletrodomesticos_2,PR,16
perfumaria,PI,16
audio,RS,16
casa_construcao,ES,15
cama_mesa_banho,SE,15
brinquedos,RO,15
relogios_presentes,RO,15
market_place,PR,15
livros_interesse_geral,BA,15
artigos_de_natal,RJ,15
telefonia,AM,15
livros_interesse_geral,GO,15
climatizacao,RS,15
cama_mesa_banho,RO,15
ferramentas_jardim,PB,15
livros_tecnicos,PR,15
fashion_bolsas_e_acessorios,PB,15
bebidas,PR,15
bebes,RN,15
eletrodomesticos,ES,15
eletrodomesticos,DF,15
alimentos,ES,14
ferramentas_jardim,AL,14
eletronicos,AL,14
bebidas,SC,14
audio,ES,14
consoles_games,PA,14
moveis_cozinha_area_de_servico_jantar_e_jardim,PR,14
livros_tecnicos,ES,14
market_place,SC,14
moveis_sala,ES,14
eletronicos,RN,14
audio,BA,14
casa_construcao,BA,14
fashion_bolsas_e_acessorios,MT,14
artigos_de_natal,SC,14
fashion_bolsas_e_acessorios,MS,14
casa_conforto_2,SP,14
construcao_ferramentas_construcao,MS,14
utilidades_domesticas,TO,14
eletrodomesticos,GO,14
ferramentas_jardim,TO,13
eletronicos,PB,13
papelaria,RN,13
brinquedos,TO,13
alimentos,RS,13
malas_acessorios,PE,13
moveis_cozinha_area_de_servico_jantar_e_jardim,RS,13
pet_shop,CE,13
perfumaria,TO,13
eletronicos,MA,13
casa_conforto,PR,13
moveis_decoracao,RO,13
cool_stuff,RO,13
market_place,GO,13
bebes,PB,13
construcao_ferramentas_seguranca,SC,13
casa_construcao,GO,13
construcao_ferramentas_iluminacao,PR,13
pet_shop,RN,13
dvds_blu_ray,RJ,13
bebes,PI,12
industria_comercio_e_negocios,PR,12
livros_tecnicos,RS,12
perfumaria,AL,12
moveis_decoracao,AC,12
esporte_lazer,AM,12
brinquedos,AL,12
casa_conforto,SC,12
cine_foto,RS,12
malas_acessorios,GO,12
eletrodomesticos_2,RS,12
fashion_roupa_masculina,RJ,12
telefonia_fixa,BA,12
agro_industria_e_comercio,PR,12
fashion_roupa_masculina,PR,12
musica,SP,12
casa_conforto,ES,12
construcao_ferramentas_construcao,ES,12
climatizacao,PR,12
moveis_sala,SC,12
construcao_ferramentas_construcao,PE,12
fashion_esporte,SP,12
eletroportateis,GO,11
sinalizacao_e_seguranca,MG,11
brinquedos,SE,11
flores,SP,11
relogios_presentes,AM,11
fashion_calcados,PE,11
bebidas,BA,11
casa_conforto,BA,11
construcao_ferramentas_construcao,GO,11
papelaria,PI,11
pet_shop,PA,11
construcao_ferramentas_construcao,DF,11
bebes,RO,11
instrumentos_musicais,PE,11
livros_interesse_geral,ES,11
utilidades_domesticas,AL,10
casa_construcao,CE,10
moveis_sala,GO,10
utilidades_domesticas,SE,10
tablets_impressao_imagem,MG,10
portateis_casa_forno_e_cafe,MG,10
fashion_calcados,RS,10
beleza_saude,AP,10
livros_tecnicos,SC,10
pcs,PE,10
eletrodomesticos,PA,10
pet_shop,MA,10
instrumentos_musicais,PA,10
artigos_de_natal,BA,10
automotivo,RO,10
tablets_impressao_imagem,RJ,10
livros_tecnicos,BA,10
moveis_escritorio,PB,10
audio,SC,10
cama_mesa_banho,TO,10
construcao_ferramentas_construcao,CE,10
instrumentos_musicais,MA,10
sinalizacao_e_seguranca,SC,10
artes,BA,10
instrumentos_musicais,DF,10
consoles_games,PI,9
moveis_escritorio,PI,9
artes,RS,9
malas_acessorios,MS,9
alimentos,DF,9
fashion_bolsas_e_acessorios,RO,9
instrumentos_musicais,GO,9
agro_industria_e_comercio,RS,9
artes,PR,9
esporte_lazer,AC,9
construcao_ferramentas_iluminacao,ES,9
construcao_ferramentas_iluminacao,MS,9
fashion_roupa_masculina,BA,9
construcao_ferramentas_ferramentas,RJ,9
fashion_roupa_masculina,RS,9
informatica_acessorios,AC,9
informatica_acessorios,AP,9
moveis_quarto,PR,9
telefonia_fixa,ES,9
market_place,MA,9
consoles_games,MT,9
eletroportateis,PA,9
malas_acessorios,MA,9
construcao_ferramentas_ferramentas,PR,8
flores,RJ,8
pcs,RS,8
fashion_bolsas_e_acessorios,SE,8
portateis_cozinha_e_preparadores_de_alimentos,SP,8
casa_conforto,PE,8
malas_acessorios,MT,8
casa_construcao,MS,8
construcao_ferramentas_jardim,BA,8
portateis_casa_forno_e_cafe,PR,8
livros_interesse_geral,PE,8
construcao_ferramentas_seguranca,RS,8
moveis_colchao_e_estofado,RJ,8
eletroportateis,CE,8
fashion_bolsas_e_acessorios,TO,8
artigos_de_natal,DF,8
pet_shop,PB,8
construcao_ferramentas_ferramentas,RS,8
relogios_presentes,AP,8
musica,RJ,8
pet_shop,RO,8
construcao_ferramentas_jardim,CE,8
construcao_ferramentas_seguranca,PB,8
eletroportateis,MT,8
eletrodomesticos,MT,8
fashion_underwear_e_moda_praia,SC,8
bebes,SE,8
cama_mesa_banho,AM,8
casa_conforto,GO,8
papelaria,RO,8
fashion_bolsas_e_acessorios,RN,8
alimentos,PE,8
papelaria,AL,8
alimentos_bebidas,BA,8
construcao_ferramentas_construcao,RN,8
esporte_lazer,RR,8
fashion_calcados,DF,7
livros_interesse_geral,CE,7
casa_conforto,DF,7
eletrodomesticos,CE,7
malas_acessorios,PB,7
agro_industria_e_comercio,GO,7
audio,GO,7
construcao_ferramentas_ferramentas,GO,7
consoles_games,PB,7
climatizacao,GO,7
pcs,DF,7
moveis_sala,DF,7
fashion_calcados,SC,7
fashion_calcados,BA,7
livros_importados,MG,7
casa_construcao,DF,7
eletronicos,TO,7
construcao_ferramentas_jardim,RS,7
alimentos,GO,7
bebes,TO,7
alimentos_bebidas,ES,7
ferramentas_jardim,RO,7
casa_construcao,PE,7
construcao_ferramentas_seguranca,BA,7
construcao_ferramentas_construcao,MT,7
beleza_saude,AC,7
instrumentos_musicais,CE,7
fashion_calcados,GO,7
industria_comercio_e_negocios,GO,7
malas_acessorios,PA,7
telefonia_fixa,SC,7
moveis_cozinha_area_de_servico_jantar_e_jardim,SC,7
brinquedos,AM,7
alimentos,MT,7
fashion_roupa_feminina,MG,7
perfumaria,SE,7
moveis_quarto,MG,7
instrumentos_musicais,MS,7
musica,PR,7
bebes,AL,7
pet_shop,PI,7
construcao_ferramentas_seguranca,GO,7
esporte_lazer,AP,7
casa_construcao,MT,7
market_place,ES,7
beleza_saude,RR,7
bebidas,GO,7
portateis_casa_forno_e_cafe,RJ,7
consoles_games,AL,7
moveis_escritorio,AL,7
moveis_escritorio,TO,6
climatizacao,ES,6
malas_acessorios,AL,6
artes_e_artesanato,MG,6
telefonia_fixa,PR,6
eletroportateis,MS,6
sinalizacao_e_seguranca,BA,6
eletronicos,RO,6
livros_importados,RJ,6
perfumaria,RO,6
la_cuisine,SP,6
pcs,CE,6
artigos_de_natal,PR,6
consoles_games,MA,6
musica,MG,6
eletrodomesticos_2,BA,6
agro_industria_e_comercio,CE,6
consoles_games,MS,6
fashion_underwear_e_moda_praia,PR,6
cine_foto,MG,6
artigos_de_natal,RS,6
sinalizacao_e_seguranca,GO,6
malas_acessorios,RO,6
papelaria,AM,6
sinalizacao_e_seguranca,MT,6
instrumentos_musicais,MT,6
artigos_de_natal,PA,6
artigos_de_festas,RJ,6
automotivo,AM,6
construcao_ferramentas_jardim,PE,6
instrumentos_musicais,PI,6
artes,DF,6
fashion_underwear_e_moda_praia,BA,6
moveis_decoracao,RR,6
sinalizacao_e_seguranca,ES,6
eletrodomesticos,MS,6
construcao_ferramentas_jardim,PR,6
industria_comercio_e_negocios,DF,6
telefonia_fixa,GO,6
artes,SC,6
consoles_games,RN,6
cds_dvds_musicais,SP,6
climatizacao,BA,6
tablets_impressao_imagem,BA,6
alimentos_bebidas,RS,6
construcao_ferramentas_iluminacao,BA,6
telefonia_fixa,AP,6
moveis_escritorio,RO,6
consoles_games,SE,6
cama_mesa_banho,AP,6
sinalizacao_e_seguranca,PB,6
construcao_ferramentas_ferramentas,SC,5
alimentos_bebidas,PE,5
moveis_escritorio,RN,5
agro_industria_e_comercio,PE,5
bebidas,ES,5
eletrodomesticos_2,DF,5
construcao_ferramentas_jardim,GO,5
casa_construcao,PB,5
market_place,PA,5
pcs,SC,5
utilidades_domesticas,RO,5
construcao_ferramentas_ferramentas,BA,5
audio,AL,5
informatica_acessorios,RR,5
livros_tecnicos,MT,5
telefonia,AC,5
dvds_blu_ray,PR,5
market_place,MT,5
artigos_de_festas,MG,5
malas_acessorios,PI,5
eletrodomesticos,PE,5
fashion_calcados,ES,5
industria_comercio_e_negocios,BA,5
bebes,AM,5
fashion_bolsas_e_acessorios,PI,5
construcao_ferramentas_jardim,DF,5
livros_interesse_geral,PA,5
telefonia_fixa,PB,5
audio,CE,5
construcao_ferramentas_jardim,SC,5
agro_industria_e_comercio,BA,5
construcao_ferramentas_jardim,ES,5
moveis_cozinha_area_de_servico_jantar_e_jardim,DF,5
casa_construcao,MA,5
pcs,MA,5
fashion_underwear_e_moda_praia,GO,5
ferramentas_jardim,AM,5
alimentos,CE,5
construcao_ferramentas_iluminacao,GO,5
bebidas,DF,5
climatizacao,MT,5
livros_tecnicos,DF,5
cine_foto,RJ,5
casa_conforto_2,GO,5
flores,MG,5
livros_interesse_geral,PB,5
pcs,GO,5
construcao_ferramentas_seguranca,CE,5
cds_dvds_musicais,RS,5
market_place,BA,4
alimentos_bebidas,RN,4
pcs,PB,4
pet_shop,TO,4
utilidades_domesticas,AM,4
moveis_sala,PE,4
pcs,PR,4
bebidas,MS,4
casa_conforto,CE,4
construcao_ferramentas_seguranca,PE,4
moveis_quarto,BA,4
telefonia_fixa,AL,4
moveis_cozinha_area_de_servico_jantar_e_jardim,PE,4
moveis_decoracao,AM,4
agro_industria_e_comercio,RO,4
construcao_ferramentas_ferramentas,ES,4
industria_comercio_e_negocios,PE,4
eletronicos,AC,4
cine_foto,SC,4
artigos_de_natal,PE,4
sinalizacao_e_seguranca,DF,4
telefonia,RR,4
pet_shop,AM,4
alimentos_bebidas,CE,4
livros_tecnicos,PE,4
fashion_bolsas_e_acessorios,AL,4
artes,GO,4
moveis_escritorio,MS,4
dvds_blu_ray,MG,4
cool_stuff,AM,4
portateis_casa_forno_e_cafe,SC,4
tablets_impressao_imagem,ES,4
audio,PI,4
utilidades_domesticas,AC,4
eletrodomesticos_2,MS,4
automotivo,AC,4
dvds_blu_ray,RS,4
telefonia,AP,4
construcao_ferramentas_jardim,PI,4
alimentos_bebidas,DF,4
artigos_de_festas,RS,4
pc_gamer,SP,4
audio,PE,4
construcao_ferramentas_iluminacao,DF,4
instrumentos_musicais,PB,4
eletronicos,AM,4
audio,MT,4
livros_tecnicos,CE,4
alimentos,MS,4
market_place,CE,4
construcao_ferramentas_construcao,RO,4
relogios_presentes,AC,4
construcao_ferramentas_seguranca,MT,4
fashion_roupa_infanto_juvenil,SP,4
market_place,DF,4
moveis_sala,MA,4
eletrodomesticos,PI,4
utilidades_domesticas,AP,4
eletronicos,AP,4
casa_conforto,MT,4
livros_tecnicos,MS,4
market_place,PE,4
fashion_calcados,MS,4
casa_construcao,PI,4
tablets_impressao_imagem,PA,4
eletroportateis,PB,4
fashion_esporte,PA,4
pcs,PA,4
consoles_games,TO,4
casa_conforto_2,RJ,4
cama_mesa_banho,AC,4
climatizacao,SC,4
moveis_cozinha_area_de_servico_jantar_e_jardim,GO,4
casa_construcao,AM,4
fashion_calcados,PA,4
telefonia_fixa,CE,4
moveis_decoracao,AP,3
moveis_sala,MT,3
industria_comercio_e_negocios,SE,3
eletrodomesticos_2,GO,3
brinquedos,AP,3
industria_comercio_e_negocios,PI,3
moveis_escritorio,SE,3
cama_mesa_banho,RR,3
pet_shop,AL,3
cine_foto,BA,3
dvds_blu_ray,DF,3
climatizacao,DF,3
instrumentos_musicais,SE,3
eletroportateis,SE,3
malas_acessorios,AM,3
eletroportateis,RN,3
eletroportateis,ES,3
malas_acessorios,SE,3
pcs,PI,3
dvds_blu_ray,MS,3
portateis_casa_forno_e_cafe,RS,3
moveis_sala,PB,3
industria_comercio_e_negocios,PB,3
fashion_calcados,AL,3
alimentos_bebidas,SC,3
construcao_ferramentas_iluminacao,PE,3
construcao_ferramentas_jardim,RN,3
bebes,AC,3
artigos_de_natal,GO,3
eletrodomesticos,RR,3
moveis_colchao_e_estofado,MG,3
telefonia_fixa,PE,3
fashion_roupa_masculina,GO,3
moveis_sala,MS,3
market_place,PB,3
casa_construcao,AL,3
fashion_calcados,CE,3
moveis_cozinha_area_de_servico_jantar_e_jardim,BA,3
fashion_calcados,MT,3
papelaria,SE,3
la_cuisine,RS,3
eletrodomesticos_2,CE,3
pet_shop,SE,3
construcao_ferramentas_seguranca,DF,3
agro_industria_e_comercio,SC,3
agro_industria_e_comercio,MS,3
pcs,ES,3
moveis_quarto,RN,3
flores,RS,3
sinalizacao_e_seguranca,PR,3
casa_construcao,SE,3
eletrodomesticos_2,MT,3
